Full Name,PDS,Role,Rating,Career TSR,Age,Gender,Current Companies,Previous Companies,URL
Jeremy Wacksman,CEO: ZILLOW GROUP INC since Aug 2024,CEO,A,60.18020611,48,male,ZG,,https://app.boardroomalpha.com/people/A1172374
Jeremy Wacksman,CEO: ZILLOW GROUP INC since Aug 2024,Director,A,60.18020611263284,48,male,ZG,,https://app.boardroomalpha.com/people/A1172374
Jonathan Cherry,CEO: PERPETUA RESOURCES CORP since Mar 2024,CEO,A,219.55186741789788,55,male,PPTA,,https://app.boardroomalpha.com/people/A1392189
Jonathan Cherry,CEO: PERPETUA RESOURCES CORP since Mar 2024,Director,A,219.55186741789788,55,male,PPTA,,https://app.boardroomalpha.com/people/A1392189
Joseph F Fadool,CEO: BORGWARNER INC since Feb 2025,CEO,A,37.49971325013766,59,male,BWA,,https://app.boardroomalpha.com/people/A1156438
Joseph F Fadool,CEO: BORGWARNER INC since Feb 2025,Director,A,37.49971325013763,59,male,BWA,,https://app.boardroomalpha.com/people/A1156438
Justin Jacobs,CEO: NATURAL GAS SERVICES GROUP INC since Feb 2024,CEO,A,41.22022382,50,male,NGS,,https://app.boardroomalpha.com/people/A1081722
Justin Jacobs,CEO: NATURAL GAS SERVICES GROUP INC since Feb 2024,Director,A+,37.018471995291115,50,male,NGS,"EEI, NTSC",https://app.boardroomalpha.com/people/A1081722
Kevin McAleenan,CEO: BIGBEARAI HOLDINGS INC since Jan 2025,CEO,A,72.3070458,53,male,BBAI,,https://app.boardroomalpha.com/people/A1398935
Kevin McAleenan,CEO: BIGBEARAI HOLDINGS INC since Jan 2025,Director,A,72.3070458,53,male,BBAI,,https://app.boardroomalpha.com/people/A1398935
Kevin Smith,CEO: INOGEN INC since Nov 2023,CEO,A,34.88686363038818,53,male,INGN,,https://app.boardroomalpha.com/people/A1353979
Kevin Smith,CEO: INOGEN INC since Nov 2023,Director,C-,-53.99939901,53,male,INGN,ONCSQ,https://app.boardroomalpha.com/people/A1353979
Khozema Shipchandler,CEO: TWILIO INC since Jan 2024,CEO,A,23.44661562996162,51,male,TWLO,,https://app.boardroomalpha.com/people/A1110412
Khozema Shipchandler,CEO: TWILIO INC since Jan 2024,CFO,C-,-2.069896021,51,male,,TWLO,https://app.boardroomalpha.com/people/A1110412
Khozema Shipchandler,CEO: TWILIO INC since Jan 2024,Director,B+,23.025466680569217,51,male,TWLO,"PVTL, SMAR",https://app.boardroomalpha.com/people/A1110412
Lawrence S Coben,CEO: NRG ENERGY INC since Nov 2023,CEO,A,106.4058692359188,66,male,NRG,,https://app.boardroomalpha.com/people/A1046904
Lawrence S Coben,CEO: NRG ENERGY INC since Nov 2023,Director,A,19.518704010033726,66,male,NRG,"FRPT, HKRSQ, TGY",https://app.boardroomalpha.com/people/A1046904
Li Wai Chung,CEO: FIEE INC since Feb 2025,CEO,A,719.8814229249015,47,male,FIEE,,https://app.boardroomalpha.com/people/A1399828
Luis Goldner,CEO: VERSUS SYSTEMS INC since Oct 2024,CEO,A,46.887939094430365,55,male,VS,,https://app.boardroomalpha.com/people/A1391721
Luis Goldner,CEO: VERSUS SYSTEMS INC since Oct 2024,Director,C+,-16.42029861,55,male,VS,,https://app.boardroomalpha.com/people/A1391721
Marc H McConnell,CEO: ARTS WAY MANUFACTURING CO INC since Oct 2024,CEO,A,62.88735497136149,45,male,ARTW,,https://app.boardroomalpha.com/people/A1042647
Marc H McConnell,CEO: ARTS WAY MANUFACTURING CO INC since Oct 2024,Director,B+,3.0883780131834015,45,male,"ARTW, CBNK",,https://app.boardroomalpha.com/people/A1042647
Margaret Tooth,CEO: TRUPANION INC since Aug 2024,CEO,A,31.85177116366149,46,female,TRUP,,https://app.boardroomalpha.com/people/A1168229
Margaret Tooth,CEO: TRUPANION INC since Aug 2024,Director,A,43.74060745686981,46,female,TRUP,,https://app.boardroomalpha.com/people/A1168229
Mariam Sorond,CEO: NEXTNAV INC since Nov 2023,CEO,A,93.87880532725539,52,female,NN,,https://app.boardroomalpha.com/people/A1389679
Mariam Sorond,CEO: NEXTNAV INC since Nov 2023,Director,A,93.87880532725536,52,female,NN,,https://app.boardroomalpha.com/people/A1389679
Marino Garcia,CEO: DIANTHUS THERAPEUTICS INC since Sep 2023,CEO,A,56.772151677304365,58,male,DNTH,,https://app.boardroomalpha.com/people/A1169259
Marino Garcia,CEO: DIANTHUS THERAPEUTICS INC since Sep 2023,Director,A,56.772151677304336,58,male,DNTH,,https://app.boardroomalpha.com/people/A1169259
Mark Van Genderen,CEO: DOUGLAS DYNAMICS INC since Mar 2025,CEO,A,30.12305408202525,57,male,PLOW,,https://app.boardroomalpha.com/people/A1383719
Mark Van Genderen,CEO: DOUGLAS DYNAMICS INC since Mar 2025,Director,A,30.12305408202525,57,male,PLOW,,https://app.boardroomalpha.com/people/A1383719
Michael A Bieber,CEO: WILLDAN GROUP INC since Dec 2023,CEO,A,150.1878920169555,56,male,WLDN,,https://app.boardroomalpha.com/people/A1130670
Michael A Bieber,CEO: WILLDAN GROUP INC since Dec 2023,Director,A,150.18789201695552,56,male,WLDN,,https://app.boardroomalpha.com/people/A1130670
Michael C Creedon Jr,CEO: DOLLAR TREE INC since Nov 2024,CEO,A,50.15866186199101,48,male,DLTR,,https://app.boardroomalpha.com/people/A1363946
Michael C Creedon Jr,CEO: DOLLAR TREE INC since Nov 2024,Director,A,38.543798925651586,48,male,DLTR,,https://app.boardroomalpha.com/people/A1363946
